TransactionAmount,TransactionDate,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
0.007554239769276148,0.27694470477975636,1.0,0.8571428571428571,0.3145299145299145,0.0,0.8387096774193548,0.0,0.24482758620689654,0.0,0.336789508321911,0.2924791086350975,3
0.2053682623609867,0.4831302717900656,1.0,0.3571428571428571,0.13846153846153847,0.0,0.8064516129032258,0.0,0.45172413793103444,0.0,0.9180493943514934,0.5348189415041783,3
0.06884026306014988,0.514058106841612,1.0,0.5476190476190476,0.5777777777777777,1.0,0.016129032258064557,1.0,0.1586206896551724,0.0,0.06857787048620612,0.11420612813370473,2
0.10063580152504971,0.3336457357075914,1.0,0.7857142857142857,0.5076923076923077,1.0,0.12903225806451613,1.0,0.05172413793103449,0.0,0.5691704440570887,0.4540389972144847,2
0.050192269876990984,0.2577319587628866,1.0,0.6666666666666666,0.10085470085470086,0.0,0.0,1.0,0.5586206896551724,0.0,0.045676901865379926,0.036211699164345405,2
0.0037252288667001684,0.12417994376757263,0.0,0.9285714285714285,0.18974358974358974,0.0,0.30645161290322587,0.0,0.44482758620689655,0.0,0.8883232419925262,0.6295264623955432,0
0.09349122768686229,0.3402061855670103,0.0,0.38095238095238093,0.9658119658119658,0.5,0.7903225806451613,0.6666666666666666,0.9689655172413792,0.0,0.18110231456615078,0.754874651810585,0
0.05788306495663004,0.22774133083411435,0.0,0.26190476190476186,0.6239316239316239,0.5,0.532258064516129,0.3333333333333333,0.26206896551724135,0.0,0.6045352885460201,0.807799442896936,0
0.4455526666521008,0.24976569821930647,1.0,0.6190476190476191,0.6632478632478632,0.0,0.5967741935483871,0.0,0.3793103448275862,0.0,0.06182394346787634,0.025069637883008356,3
0.009569796150232693,0.21180880974695407,0.0,0.0,0.5675213675213675,1.0,0.5483870967741935,0.3333333333333333,0.16896551724137931,0.0,0.5039947458252638,0.06128133704735376,0
0.10365094277786276,0.09465791940018745,1.0,0.5238095238095237,0.09401709401709402,1.0,0.04838709677419356,1.0,0.5620689655172414,0.0,0.09590146136776602,0.13649025069637882,2
0.2699753107998864,0.42361761949390814,0.0,0.5476190476190476,0.5606837606837607,0.5,0.09677419354838712,1.0,0.3482758620689655,0.0,0.10203290043755661,0.37604456824512533,0
0.42687190019445476,0.8748828491096533,1.0,0.5238095238095237,0.4700854700854701,0.0,0.12903225806451613,1.0,0.3896551724137931,0.0,0.005881368317245673,0.11977715877437325,2
0.09107146758723154,0.11433926897844424,1.0,0.5,0.4256410256410256,1.0,0.0,1.0,0.4275862068965517,0.0,0.01329206717760872,0.6295264623955432,2
0.25409665931088726,0.9461105904404874,1.0,0.23809523809523808,0.6085470085470085,0.0,0.29032258064516125,0.3333333333333333,0.4103448275862069,0.0,0.22609488302806105,0.988857938718663,3
